i,P[|B_i| >= 1]
132,0.869360000000000021636026303895050659775733947753906250000000
133,0.865569999999999950546225591097027063369750976562500000000000
134,0.861589999999999966995289923943346366286277770996093750000000
135,0.857940000000000035917935292673064395785331726074218750000000
136,0.854160000000000030340174816956277936697006225585937500000000
137,0.850409999999999999253930127451894804835319519042968750000000
138,0.846520000000000050199844281451078131794929504394531250000000
139,0.842679999999999984616749770793830975890159606933593750000000
140,0.838829999999999964543917485571000725030899047851562500000000
141,0.835230000000000027959856652159942314028739929199218750000000
142,0.831060000000000020925483568134950473904609680175781250000000
143,0.827230000000000020854429294558940455317497253417968750000000
144,0.823239999999999971791453390324022620916366577148437500000000
145,0.819339999999999957225327307241968810558319091796875000000000
146,0.815209999999999990194510246510617434978485107421875000000000
147,0.811119999999999952144946746557252481579780578613281250000000
148,0.807379999999999986570742294134106487035751342773437500000000
149,0.803359999999999963016250603686785325407981872558593750000000
150,0.799610000000000042952308376698056235909461975097656250000000
151,0.795769999999999977369213866040809080004692077636718750000000
152,0.791850000000000053823612233827589079737663269042968750000000
153,0.787349999999999994315658113919198513031005859375000000000000
154,0.783370000000000010764722446765517815947532653808593750000000
155,0.779370000000000007212008767965016886591911315917968750000000
156,0.775320000000000009166001291305292397737503051757812500000000
157,0.771259999999999945607953577564330771565437316894531250000000
158,0.766800000000000037125857943465234711766242980957031250000000
159,0.762560000000000015596413049934199079871177673339843750000000
160,0.758120000000000016093792964966269209980964660644531250000000
161,0.754040000000000043556269702094141393899917602539062500000000
162,0.749829999999999996518340594775509089231491088867187500000000
163,0.745480000000000031512570330960443243384361267089843750000000
164,0.741480000000000027959856652159942314028739929199218750000000
165,0.737360000000000015418777365994174033403396606445312500000000
166,0.733099999999999973887554460816318169236183166503906250000000
167,0.728809999999999957864815769426058977842330932617187500000000
168,0.724910000000000054320992148859659209847450256347656250000000
169,0.720929999999999959747754019190324470400810241699218750000000
170,0.717049999999999965183405947755090892314910888671875000000000
171,0.712960000000000038156144910317379981279373168945312500000000
172,0.708749999999999991118215802998747676610946655273437500000000
173,0.704529999999999989590548921114532276988029479980468750000000
174,0.700509999999999966036057230667211115360260009765625000000000
175,0.696629999999999971471709159231977537274360656738281250000000
176,0.692710000000000047926107527018757537007331848144531250000000
177,0.688710000000000044373393848218256607651710510253906250000000
178,0.684420000000000028350655156827997416257858276367187500000000
179,0.680490000000000039293013287533540278673171997070312500000000
180,0.675950000000000050803805606847163289785385131835937500000000
181,0.671839999999999992752464095246978104114532470703125000000000
182,0.667629999999999945714534987928345799446105957031250000000000
183,0.663749999999999951150186916493112221360206604003906250000000
184,0.659370000000000011652900866465643048286437988281250000000000
185,0.654989999999999961133312353922519832849502563476562500000000
186,0.650569999999999981632470280601410195231437683105468750000000
187,0.646610000000000018083312625094549730420112609863281250000000
188,0.642970000000000041495695768389850854873657226562500000000000
189,0.638789999999999968949282447283621877431869506835937500000000
190,0.635340000000000015845103007450234144926071166992187500000000
191,0.631190000000000028812507935072062537074089050292968750000000
192,0.627219999999999999751310042483964934945106506347656250000000
193,0.623389999999999999680255768907954916357994079589843750000000
194,0.619589999999999974100717281544348224997520446777343750000000
195,0.615739999999999954027884996321517974138259887695312500000000
196,0.611800000000000010480505352461477741599082946777343750000000
197,0.607700000000000017941204077942529693245887756347656250000000
198,0.603469999999999950901496958977077156305313110351562500000000
199,0.599260000000000014885870314174098894000053405761718750000000
200,0.595090000000000007851497230149107053875923156738281250000000
201,0.591049999999999964295227528054965659976005554199218750000000
202,0.586960000000000037267966490617254748940467834472656250000000
203,0.583080000000000042703618419182021170854568481445312500000000
204,0.579150000000000053645976549887564033269882202148437500000000
205,0.575119999999999964579444622359005734324455261230468750000000
206,0.571559999999999956976637349725933745503425598144531250000000
207,0.567690000000000027924329515371937304735183715820312500000000
208,0.563740000000000018864909634430659934878349304199218750000000
209,0.559819999999999984297005539701785892248153686523437500000000
210,0.555889999999999995239363670407328754663467407226562500000000
211,0.552400000000000002131628207280300557613372802734375000000000
212,0.548529999999999962057017910410650074481964111328125000000000
213,0.544730000000000047499781885562697425484657287597656250000000
214,0.541229999999999988880006185354432091116905212402343750000000
215,0.537379999999999968807173900131601840257644653320312500000000
216,0.533580000000000054249937875283649191260337829589843750000000
217,0.529769999999999963158359150838805362582206726074218750000000
218,0.526229999999999975557329889852553606033325195312500000000000
219,0.522599999999999953459450807713437825441360473632812500000000
220,0.519020000000000036877167985949199646711349487304687500000000
221,0.515399999999999969269026678375666961073875427246093750000000
