n,i,|K|,|R|,|A|,|B|,|C|,|K|/n,|R|/n,|A|/n^2,|B|/n,|C|/n
171,2,108.235300,22.094600,6769.047600,62.764700,50.009700,0.632955,0.129208,0.231492,0.367045,0.292454
172,2,108.843900,22.265100,6855.147400,63.156100,50.239800,0.632813,0.129448,0.231718,0.367187,0.292092
173,2,109.546000,22.343700,6920.413700,63.454000,50.503600,0.633214,0.129154,0.231228,0.366786,0.291928
174,2,110.211600,22.464300,7001.645000,63.788400,50.809400,0.633400,0.129105,0.231261,0.366600,0.292008
175,2,110.833200,22.683300,7085.785000,64.166800,51.096900,0.633333,0.129619,0.231373,0.366667,0.291982
176,2,111.429400,22.712400,7166.197500,64.570600,51.380900,0.633122,0.129048,0.231347,0.366878,0.291937
177,2,112.120800,22.916500,7242.083500,64.879200,51.693600,0.633451,0.129472,0.231162,0.366549,0.292054
178,2,112.660300,22.983600,7333.921900,65.339700,52.025800,0.632923,0.129121,0.231471,0.367077,0.292280
179,2,113.260600,23.144000,7428.103700,65.739400,52.330200,0.632741,0.129296,0.231831,0.367259,0.292347
180,2,113.962200,23.226700,7493.973400,66.037800,52.538900,0.633123,0.129037,0.231295,0.366877,0.291883
181,2,114.600100,23.359200,7579.389400,66.399900,52.810700,0.633150,0.129056,0.231354,0.366850,0.291772
182,2,115.200700,23.456400,7669.946900,66.799300,53.233000,0.632971,0.128881,0.231553,0.367029,0.292489
183,2,115.809600,23.636700,7758.177000,67.190400,53.521200,0.632839,0.129162,0.231663,0.367161,0.292466
184,2,116.530300,23.705700,7825.216800,67.469700,53.653900,0.633317,0.128835,0.231132,0.366683,0.291597
185,2,117.125700,23.852300,7918.791200,67.874300,54.021200,0.633112,0.128931,0.231374,0.366888,0.292006
186,2,117.697300,24.071700,8016.474600,68.302700,54.392500,0.632781,0.129418,0.231717,0.367219,0.292433
187,2,118.427600,24.166300,8084.796700,68.572400,54.522800,0.633303,0.129232,0.231199,0.366697,0.291566
